Name,Team
b'Maxi Kleber',b'DAL'
b'Delon Wright',b'DAL'
b'Dorian Finney-Smith',b'DAL'
b'Tim Hardaway Jr.',b'DAL'
b'Seth Curry',b'DAL'
b'Justin Jackson',b'DAL'
b'Jalen Brunson',b'DAL'
b'Luka Don\xc4\x8di\xc4\x87',b'DAL'
b'Kristaps Porzi\xc5\x86\xc4\xa3is',b'DAL'
b'Dwight Powell',b'DAL'
b'Boban Marjanovi\xc4\x87',b'DAL'
b'J.J. Barea',b'DAL'
b'Courtney Lee',b'DAL'
b'Willie Cauley-Stein',b'DAL'
b'Michael Kidd-Gilchrist',b'DAL'
b'Antonius Cleveland',b'DAL'
b'Josh Reaves',b'DAL'
