,Name,Team,Minutes Played,PER
0,Steven Adams,OKC,1564,20.8
1,Bam Adebayo,MIA,2235,20.6
2,LaMarcus Aldridge,SAS,1754,19.8
3,Nickeil Alexander-Walker,NOP,501,7.6
4,Grayson Allen,MEM,498,11.4
5,Jarrett Allen,BRK,1647,20.3
6,Kadeem Allen,NYK,117,14.0
7,Al-Farouq Aminu,ORL,380,7.6
8,Justin Anderson,BRK,17,-3.8
9,Kyle Anderson,MEM,1140,13.0
10,Ryan Anderson,HOU,14,9.5
11,Giannis Antetokounmpo,MIL,1763,31.6
12,Kostas Antetokounmpo,LAL,5,8.6
13,Thanasis Antetokounmpo,MIL,93,14.2
14,Carmelo Anthony,POR,1623,12.2
15,OG Anunoby,TOR,1897,13.2
16,Ryan Arcidiacono,CHI,930,9.0
17,Trevor Ariza,TOT,1493,11.0
18,Trevor Ariza,SAC,791,9.4
19,Trevor Ariza,POR,702,12.8
20,D.J. Augustin,ORL,1215,14.2
21,Deandre Ayton,PHO,996,20.4
22,,,,
23,Dwayne Bacon,CHO,687,6.1
24,Marvin Bagley III,SAC,334,15.7
25,Lonzo Ball,NOP,1817,13.7
26,Mo Bamba,ORL,868,17.8
27,J.J. Barea,DAL,391,14.9
28,Harrison Barnes,SAC,2231,13.3
29,RJ Barrett,NYK,1704,10.7
30,Will Barton,DEN,1916,15.7
31,Keita Bates-Diop,TOT,665,12.6
32,Keita Bates-Diop,MIN,646,12.5
33,Keita Bates-Diop,DEN,19,15.8
34,Nicolas Batum,CHO,505,9.2
35,Aron Baynes,PHO,934,15.1
36,Kent Bazemore,TOT,1604,9.2
37,Kent Bazemore,POR,1111,7.6
38,Kent Bazemore,SAC,493,13.0
39,Darius Bazley,OKC,909,8.1
40,Bradley Beal,WAS,2053,23.1
41,Malik Beasley,TOT,1209,12.7
42,Malik Beasley,DEN,746,10.5
43,Malik Beasley,MIN,463,16.2
44,Marco Belinelli,SAS,779,10.2
45,Jordan Bell,TOT,256,13.9
46,Jordan Bell,MIN,235,14.1
47,Jordan Bell,MEM,21,12.6
48,DeAndre' Bembry,ATL,915,9.6
49,Dragan Bender,TOT,286,11.0
50,Dragan Bender,MIL,91,8.5
51,Dragan Bender,GSW,195,12.1
52,Dāvis Bertāns,WAS,1583,15.5
53,,,,
54,Patrick Beverley,LAC,1299,12.3
55,Khem Birch,ORL,777,10.1
