Rk,Player,Debut,Age,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST
1,Alexis Ajinça\ajincal01,Oct 30 '08 CHA @ CLE,20,7,293,3905,645,1283,12,42,251,315,346,1150,143,102,181,249,661,1553,.503,.286,.797,13.3,5.3,3.9,0.5
2,Joe Alexander\alexajo01,Nov 2 '08 MIL @ NYK,22,2,67,745,103,251,16,47,60,86,46,120,44,16,30,52,116,282,.410,.340,.698,11.1,4.2,1.8,0.7
3,Ryan Anderson\anderry01,Oct 29 '08 NJN @ WAS,20,12,649,16769,2755,6533,1325,3491,1166,1366,1247,3413,586,332,217,606,1263,8001,.422,.380,.854,25.8,12.3,5.3,0.9
4,Darrell Arthur\arthuda01,Oct 29 '08 MEM @ HOU,20,9,503,8945,1381,3110,161,458,359,469,547,1768,409,309,307,422,1234,3282,.444,.352,.765,17.8,6.5,3.5,0.8
5,D.J. Augustin\augusdj01,Oct 30 '08 CHA @ CLE,21,12,856,20634,2737,6641,1101,2903,1864,2156,257,1630,3427,518,30,1290,1236,8439,.412,.379,.865,24.1,9.9,1.9,4.0
6,Nicolas Batum\batumni01,Oct 28 '08 POR @ LAL,20,12,789,24733,3245,7470,1247,3496,1381,1642,835,4137,2967,747,500,1449,1398,9118,.434,.357,.841,31.3,11.6,5.2,3.8
7,Jerryd Bayless\bayleje01,Oct 28 '08 POR @ LAL,20,11,586,12486,1719,4180,499,1382,972,1188,176,1235,1674,370,73,825,1206,4909,.411,.361,.818,21.3,8.4,2.1,2.9
8,Michael Beasley\beaslmi01,Oct 29 '08 MIA @ NYK,20,11,609,13903,3088,6644,291,835,1101,1450,664,2861,788,345,314,1025,1294,7568,.465,.349,.759,22.8,12.4,4.7,1.3
9,Bobby Brown\brownbo02,Oct 31 '08 SAC @ MIA,24,4,158,1688,271,715,96,303,50,62,23,103,230,41,4,123,148,688,.379,.317,.806,10.7,4.4,0.7,1.5
10,Mario Chalmers\chalmma01,Oct 29 '08 MIA @ NYK,22,9,646,17245,1936,4641,755,2153,1116,1407,211,1585,2412,950,103,1202,1756,5743,.417,.351,.793,26.7,8.9,2.5,3.7
11,Joe Crawford\crawfjo01,Apr 8 '09 NYK vs. DET,22,1,2,23,3,10,1,4,2,2,1,4,1,1,0,0,2,9,.300,.250,1.000,11.5,4.5,2.0,0.5
12,Joey Dorsey\dorsejo01,Nov 9 '08 HOU @ LAL,25,4,130,1488,142,266,0,1,60,160,198,513,55,67,44,86,256,344,.534,.000,.375,11.4,2.6,3.9,0.4
13,Chris Douglas-Roberts\douglch01,Oct 29 '08 NJN @ WAS,22,6,222,4381,574,1309,84,255,339,408,83,472,254,128,55,200,287,1571,.439,.329,.831,19.7,7.1,2.1,1.1
14,Goran Dragić\dragigo01,Oct 29 '08 PHO @ SAS,22,12,812,22767,4138,8927,985,2704,2028,2658,586,2480,3921,802,149,1838,1877,11289,.464,.364,.763,28.0,13.9,3.1,4.8
15,Rudy Fernández\fernaru01,Oct 28 '08 POR @ LAL,23,4,249,5965,740,1853,413,1147,361,430,128,608,554,249,40,286,369,2254,.399,.360,.840,24.0,9.1,2.4,2.2
16,Danilo Gallinari\gallida01,Oct 29 '08 NYK vs. MIA,20,11,604,18742,2960,6936,1198,3148,2659,3049,447,2971,1231,476,239,798,1098,9777,.427,.381,.872,31.0,16.2,4.9,2.0
17,Marc Gasol\gasolma01,Oct 29 '08 MEM @ HOU,24,12,831,27555,4527,9401,375,1054,2767,3562,1371,6342,2864,760,1191,1686,2413,12196,.482,.356,.777,33.2,14.7,7.6,3.4
18,J.R. Giddens\giddejr01,Feb 22 '09 BOS @ PHO,23,2,38,247,30,63,0,10,13,23,18,54,13,10,2,18,30,73,.476,.000,.565,6.5,1.9,1.4,0.3
19,Eric Gordon\gordoer01,Oct 29 '08 LAC vs. LAL,20,12,663,21755,3733,8783,1549,4186,1976,2436,274,1634,1894,598,226,1306,1312,10991,.425,.370,.811,32.8,16.6,2.5,2.9
20,Donté Greene\greendo01,Oct 31 '08 SAC @ MIA,20,4,253,4259,585,1441,165,542,206,294,140,600,183,111,116,222,373,1541,.406,.304,.701,16.8,6.1,2.4,0.7
21,Hamed Haddadi\haddaha01,Dec 30 '08 MEM vs. PHO,23,5,151,1056,130,281,0,5,79,125,137,372,43,11,92,92,209,339,.463,.000,.632,7.0,2.2,2.5,0.3
22,Malik Hairston\hairsma01,Jan 31 '09 SAS vs. NOH,21,2,62,472,64,125,2,12,19,37,24,77,29,10,16,23,48,149,.512,.167,.514,7.6,2.4,1.2,0.5
23,Roy Hibbert\hibbero01,Oct 29 '08 IND @ DET,22,9,662,16389,2622,5641,6,24,1361,1802,1527,4173,885,241,1146,1038,2067,6611,.465,.250,.755,24.8,10.0,6.3,1.3
24,J.J. Hickson\hicksjj01,Oct 30 '08 CLE vs. CHA,20,8,534,11925,2049,4056,0,21,983,1593,1173,3639,449,274,309,774,1033,5081,.505,.000,.617,22.3,9.5,6.8,0.8
25,George Hill\hillge01,Nov 4 '08 SAS vs. DAL,22,12,778,21574,3070,6715,952,2475,1570,1956,459,2407,2475,710,215,977,1594,8662,.457,.385,.803,27.7,11.1,3.1,3.2
26,Steven Hill\hillst01,Nov 12 '08 OKC vs. ORL,23,1,1,2,1,1,0,0,0,0,2,3,0,0,0,0,0,2,1.000,,,2.0,2.0,3.0,0.0
27,Othello Hunter\hunteot01,Nov 11 '08 ATL @ CHI,22,2,23,125,15,32,0,0,3,9,15,36,1,2,6,5,16,33,.469,,.333,5.4,1.4,1.6,0.0
28,Darnell Jackson\jacksda01,Nov 25 '08 CLE @ NYK,23,3,138,1039,123,274,4,17,58,90,90,203,26,24,11,50,159,308,.449,.235,.644,7.5,2.2,1.5,0.2
29,Nathan Jawai\jawaina01,Jan 21 '09 TOR @ DET,22,2,45,431,50,115,0,1,26,38,50,106,24,10,9,29,61,126,.435,.000,.684,9.6,2.8,2.4,0.5
30,Dontell Jefferson\jeffedo01,Apr 5 '09 CHA @ DET,25,1,6,84,11,22,1,2,6,9,1,12,9,4,1,6,9,29,.500,.500,.667,14.0,4.8,2.0,1.5
31,Trey Johnson\johnstr01,Feb 3 '09 CLE vs. TOR,24,3,23,169,20,52,1,3,18,19,5,20,15,2,1,11,26,59,.385,.333,.947,7.3,2.6,0.9,0.7
32,DeAndre Jordan\jordade01,Nov 1 '08 LAC @ UTA,20,12,875,24326,3337,4985,1,11,1626,3431,2801,9451,818,508,1402,1209,2296,8301,.669,.091,.474,27.8,9.5,10.8,0.9
33,Kosta Koufos\koufoko01,Nov 1 '08 UTA vs. LAC,19,11,686,11271,1750,3277,0,4,413,710,1198,3452,359,291,506,479,1398,3913,.534,.000,.582,16.4,5.7,5.0,0.5
34,Rob Kurz\kurzro01,Nov 9 '08 GSW @ SAC,23,1,40,442,51,131,15,38,40,50,33,81,20,14,19,16,78,157,.389,.395,.800,11.1,3.9,2.0,0.5
35,Courtney Lee\leeco01,Nov 3 '08 ORL vs. CHI,23,12,811,21938,2961,6567,876,2259,967,1134,364,2127,1353,809,213,762,1339,7765,.451,.388,.853,27.1,9.6,2.6,1.7
36,Brook Lopez\lopezbr01,Oct 29 '08 NJN @ WAS,20,12,778,23797,5012,10148,520,1539,2540,3207,1635,4967,1186,452,1398,1398,2104,13084,.494,.338,.792,30.6,16.8,6.4,1.5
37,Robin Lopez\lopezro01,Oct 29 '08 PHO @ SAS,20,12,826,18511,3040,5744,44,147,1149,1530,1908,4191,683,199,968,908,1616,7273,.529,.299,.751,22.4,8.8,5.1,0.8
38,Kevin Love\loveke01,Oct 29 '08 MIN vs. SAC,20,12,713,22803,4280,9673,1223,3302,3210,3875,1972,7944,1697,486,322,1411,1499,12993,.442,.370,.828,32.0,18.2,11.1,2.4
39,Cartier Martin\martica01,Jan 30 '09 CHA @ DEN,24,7,243,3351,430,1098,218,586,151,207,88,463,121,97,27,128,317,1229,.392,.372,.729,13.8,5.1,1.9,0.5
40,O.J. Mayo\mayooj01,Oct 29 '08 MEM @ HOU,21,8,547,16919,2808,6547,854,2287,1104,1346,285,1706,1607,559,141,1130,1239,7574,.429,.373,.820,30.9,13.8,3.1,2.9
41,Luc Mbah a Moute\mbahalu01,Oct 28 '08 MIL @ CHI,22,11,686,16013,1683,3703,207,617,802,1216,961,2798,588,610,263,645,1242,4375,.454,.335,.660,23.3,6.4,4.1,0.9
42,JaVale McGee\mcgeeja01,Oct 29 '08 WAS vs. NJN,21,12,694,12025,2350,4090,5,33,782,1321,1298,3573,274,281,1075,660,1507,5487,.575,.152,.592,17.3,7.9,5.1,0.4
43,Anthony Morrow\morroan01,Nov 9 '08 GSW @ SAC,23,9,564,12280,1956,4380,807,1937,608,691,309,1215,494,317,75,380,897,5327,.447,.417,.880,21.8,9.4,2.2,0.9
44,DeMarcus Nelson\nelsode01,Oct 29 '08 GSW vs. NOH,23,1,13,171,24,54,0,3,5,14,6,24,13,9,2,15,24,53,.444,.000,.357,13.2,4.1,1.8,1.0
45,Greg Oden\odengr01,Oct 28 '08 POR @ LAL,21,3,105,2028,317,552,0,0,206,313,256,656,51,40,130,138,374,840,.574,,.658,19.3,8.0,6.2,0.5
46,Anthony Randolph\randoan01,Nov 3 '08 GSW @ MEM,19,6,252,3841,677,1494,20,83,415,561,335,1078,187,150,224,298,456,1789,.453,.241,.740,15.2,7.1,4.3,0.7
47,Derrick Rose\rosede01,Oct 28 '08 CHI vs. MIL,20,11,596,19402,4375,9589,469,1541,1966,2378,497,2031,3334,450,204,1576,777,11185,.456,.304,.827,32.6,18.8,3.4,5.6
48,Brandon Rush\rushbr01,Oct 29 '08 IND @ DET,23,9,481,10564,1220,2861,522,1300,288,408,187,1413,468,222,262,400,620,3250,.426,.402,.706,22.0,6.8,2.9,1.0
49,Walter Sharpe\sharpwa01,Nov 3 '08 DET @ CHA,22,1,8,20,4,11,0,2,0,2,0,3,0,0,2,0,3,8,.364,.000,.000,2.5,1.0,0.4,0.0
50,Sean Singletary\singlse01,Nov 4 '08 PHO @ NJN,23,1,37,303,31,85,10,25,18,21,10,35,29,11,0,23,45,90,.365,.400,.857,8.2,2.4,0.9,0.8
51,Marreese Speights\speigma01,Oct 31 '08 PHI vs. NYK,21,10,705,10640,2181,4750,232,651,998,1252,947,2875,461,189,356,614,1564,5592,.459,.356,.797,15.1,7.9,4.1,0.7
52,Mike Taylor\taylomi01,Oct 29 '08 LAC vs. LAL,23,1,51,771,110,267,13,40,56,81,22,87,106,36,0,73,84,289,.412,.325,.691,15.1,5.7,1.7,2.1
53,Jason Thompson\thompja02,Oct 29 '08 SAC @ MIN,22,8,588,14819,2112,4255,6,42,980,1492,1264,3880,635,283,414,747,1751,5210,.496,.143,.657,25.2,8.9,6.6,1.1
54,Anthony Tolliver\tollian01,Nov 7 '08 SAS vs. MIA,23,12,711,13958,1451,3494,851,2282,646,838,538,2385,639,265,213,455,1154,4399,.415,.373,.771,19.6,6.2,3.4,0.9
55,Roko Ukić\ukicro01,Oct 29 '08 TOR @ PHI,24,2,85,987,137,354,14,74,53,71,27,78,165,31,2,66,83,341,.387,.189,.746,11.6,4.0,0.9,1.9
56,Henry Walker\walkebi01,Nov 7 '08 BOS vs. MIL,21,5,181,3016,386,865,190,515,117,154,55,401,153,93,27,142,375,1079,.446,.369,.760,16.7,6.0,2.2,0.8
57,Kyle Weaver\weaveky01,Oct 29 '08 OKC vs. MIL,22,3,73,1379,134,304,42,119,53,72,34,158,119,55,33,80,97,363,.441,.353,.736,18.9,5.0,2.2,1.6
58,Sonny Weems\weemsso01,Jan 17 '09 DEN vs. ORL,22,4,183,3335,514,1106,34,120,127,181,88,402,257,84,28,198,268,1189,.465,.283,.702,18.2,6.5,2.2,1.4
59,Russell Westbrook\westbru01,Oct 29 '08 OKC vs. MIL,20,12,874,30235,7194,16452,973,3196,4954,6192,1465,6186,7267,1530,267,3562,2248,20315,.437,.304,.800,34.6,23.2,7.1,8.3
60,D.J. White\whitedj01,Apr 5 '09 OKC vs. IND,22,6,138,2111,348,687,1,3,113,157,117,437,80,39,57,65,199,810,.507,.333,.720,15.3,5.9,3.2,0.6
61,Jawad Williams\willija04,Dec 12 '08 CLE vs. PHI,25,3,90,1153,127,344,45,144,41,57,24,133,56,22,8,35,109,340,.369,.313,.719,12.8,3.8,1.5,0.6
62,Sun Yue\yuesu01,Dec 7 '08 LAL vs. MIL,23,1,10,28,3,11,0,6,0,0,0,0,2,1,1,3,10,6,.273,.000,,2.8,0.6,0.0,0.2
