
Rk,Player,Debut,Age,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST
1,Jordan Adams\adamsjo01,Nov 3 '14 MEM vs. NOP,20,2,32,263,37,92,10,26,17,28,9,30,19,19,7,16,26,101,.402,.385,.607,8.2,3.2,0.9,0.6
2,Furkan Aldemir\aldemfu01,Dec 15 '14 PHI vs. BOS,23,1,41,540,40,78,0,5,13,27,78,176,28,17,16,17,96,93,.513,.000,.481,13.2,2.3,4.3,0.7
3,Kyle Anderson\anderky01,Nov 6 '14 SAS @ HOU,21,6,359,7022,781,1587,74,241,300,430,249,1428,704,341,190,315,499,1936,.492,.307,.698,19.6,5.4,4.0,2.0
4,Cameron Bairstow\bairsca01,Oct 29 '14 CHI @ NYK,24,2,36,167,16,54,1,5,11,13,10,36,7,4,4,7,27,44,.296,.200,.846,4.6,1.2,1.0,0.2
5,Jerrelle Benimon\benimje01,Mar 10 '15 UTA vs. NYK,23,1,2,3,0,0,0,0,0,0,1,3,0,0,0,1,0,0,,,,1.5,0.0,1.5,0.0
6,Sim Bhullar\bhullsi01,Apr 7 '15 SAC vs. MIN,22,1,3,3,1,2,0,0,0,0,0,1,1,0,1,0,0,2,.500,,,1.0,0.7,0.3,0.3
7,Tarik Black\blackta01,Oct 28 '14 HOU @ LAL,23,4,220,3319,439,798,2,14,195,335,393,1031,110,83,116,163,516,1075,.550,.143,.582,15.1,4.9,4.7,0.5
8,Bojan Bogdanović\bogdabo02,Oct 29 '14 BRK @ BOS,25,6,462,13172,2305,5008,872,2215,1088,1268,225,1607,689,255,37,723,746,6570,.460,.394,.858,28.5,14.2,3.5,1.5
9,Jabari Brown\brownja01,Mar 12 '15 LAL vs. NYK,22,1,19,568,70,170,23,62,64,85,3,36,40,12,2,32,33,227,.412,.371,.753,29.9,11.9,1.9,2.1
10,Markel Brown\brownma02,Nov 22 '14 BRK @ SAS,23,3,113,1794,205,539,56,190,118,151,40,234,132,69,27,83,157,584,.380,.295,.781,15.9,5.2,2.1,1.2
11,Bruno Caboclo\cabocbr01,Nov 21 '14 TOR vs. MIL,19,6,96,1233,148,373,60,191,51,61,78,247,71,33,56,61,123,407,.397,.314,.836,12.8,4.2,2.6,0.7
12,Clint Capela\capelca01,Nov 6 '14 HOU vs. SAS,20,6,334,8674,1766,2785,0,2,543,1033,1089,3243,324,229,491,412,838,4075,.634,.000,.526,26.0,12.2,9.7,1.0
13,Will Cherry\cherrwi01,Nov 7 '14 CLE @ DEN,23,1,8,69,5,19,2,9,3,6,1,5,8,6,1,4,10,15,.263,.222,.500,8.6,1.9,0.6,1.0
14,Patrick Christopher\chrispa01,Dec 27 '14 UTA vs. PHI,26,1,4,29,3,12,0,4,0,0,2,6,0,1,0,1,6,6,.250,.000,,7.3,1.5,1.5,0.0
15,Jordan Clarkson\clarkjo01,Oct 28 '14 LAL vs. HOU,22,6,445,12054,2528,5652,652,1913,865,1057,384,1404,1152,385,61,739,738,6573,.447,.341,.818,27.1,14.8,3.2,2.6
16,Jack Cooley\cooleja01,Feb 27 '15 UTA @ DEN,23,2,23,174,22,49,0,0,23,40,24,55,7,7,3,6,36,67,.449,,.575,7.6,2.9,2.4,0.3
17,Bryce Cotton\cottobr01,Feb 27 '15 UTA @ DEN,22,2,23,198,33,79,7,23,15,18,3,18,18,7,0,17,8,88,.418,.304,.833,8.6,3.8,0.8,0.8
