player,mp,fg3,fg3a,fg2,fg2a,ft,fta,orb,drb,ast,stl,blk,tov,pf,pts
Álex Abrines,1055,94,247,40,94,44,49,18,68,40,37,8,33,114,406
Quincy Acy,558,37,90,33,80,45,60,20,95,18,14,15,21,67,222
Steven Adams,2389,0,1,374,654,157,257,281,332,86,89,78,146,195,905
Arron Afflalo,1580,62,151,123,269,83,93,9,116,78,21,6,42,104,515
Alexis Ajinça,584,0,4,89,174,29,40,46,131,12,20,22,31,77,207
Cole Aldrich,531,0,0,45,86,15,22,51,107,25,25,23,17,85,105
LaMarcus Aldridge,2335,23,56,477,993,220,271,172,351,139,46,88,98,158,1243
Lavoy Allen,871,0,1,77,167,23,33,105,114,57,18,24,29,78,177
Tony Allen,1914,15,54,259,541,80,130,166,225,98,115,29,100,178,643
Al-Farouq Aminu,1773,70,212,113,254,96,136,77,374,99,60,44,94,102,532
Chris Andersen,114,0,3,9,19,10,14,9,22,5,5,7,5,20,28
Alan Anderson,308,14,44,16,36,12,16,3,21,11,3,0,7,35,86
Justin Anderson,1228,58,194,128,245,102,129,69,176,66,41,23,66,109,532
Kyle Anderson,1020,15,40,78,169,45,57,33,175,91,51,26,39,63,246
Ryan Anderson,2116,204,506,119,267,129,150,112,218,68,31,14,55,142,979
Giannis Antetokounmpo,2845,49,180,607,1079,471,612,142,558,434,131,151,234,246,1832
Carmelo Anthony,2538,151,421,451,968,304,365,62,376,213,60,34,153,198,1659
Joel Anthony,122,0,0,10,16,5,8,8,23,3,2,6,4,11,25
Trevor Ariza,2773,191,555,135,243,93,126,54,404,175,147,20,73,133,936
Darrell Arthur,639,53,117,42,98,19,22,25,87,42,19,21,36,76,262
Ömer Aşık,482,0,0,31,65,23,39,48,115,15,5,10,14,51,85
D.J. Augustin,1538,95,274,100,243,131,161,15,102,209,31,1,90,101,616
Luke Babbitt,1065,87,210,26,71,11,15,12,129,36,20,11,25,118,324
Ron Baker,857,23,86,59,131,28,43,12,86,107,34,8,56,74,215
Wade Baldwin,405,3,22,33,93,31,37,11,35,61,18,7,39,40,106
Leandro Barbosa,963,35,98,137,294,40,45,15,89,81,31,8,48,82,419
J.J. Barea,771,53,148,89,195,44,51,9,75,193,14,1,63,30,381
Harrison Barnes,2803,78,222,521,1058,242,281,93,301,116,65,15,102,128,1518
Matt Barnes,1777,87,263,98,210,70,89,70,314,195,48,26,107,185,527
Will Barton,1705,87,235,208,431,143,190,58,201,206,48,28,97,110,820
Brandon Bass,577,1,3,106,183,77,88,43,86,21,14,11,29,45,292
Nicolas Batum,2617,135,405,258,570,243,284,46,435,456,86,29,194,109,1164
Jerryd Bayless,71,2,5,9,27,9,10,3,9,13,0,0,9,4,33
Aron Baynes,1163,0,0,143,279,79,94,111,222,32,17,39,50,166,365
Kent Bazemore,1963,92,266,203,455,119,168,45,186,177,91,52,125,165,801
Bradley Beal,2684,223,552,414,770,282,342,53,187,267,83,21,156,169,1779
Malik Beasley,165,9,28,24,45,8,10,5,12,11,7,0,8,10,83
Michael Beasley,935,18,43,198,363,78,105,40,153,53,27,27,66,92,528
Marco Belinelli,1778,102,283,162,332,150,168,14,164,147,44,9,70,90,780
DeAndre' Bembry,371,1,18,46,80,6,16,14,45,28,8,5,16,21,101
Dragan Bender,574,28,101,29,60,4,11,23,80,23,10,22,32,74,146
Anthony Bennett,264,13,48,25,44,26,36,25,53,12,5,3,12,18,115
Ben Bentil,10,0,1,0,2,0,0,0,2,0,0,0,1,1,0
Dāvis Bertāns,808,69,173,34,61,28,34,22,76,46,20,28,32,75,303
Patrick Beverley,2058,110,288,118,255,73,95,95,298,281,99,25,100,222,639
Bismack Biyombo,1793,0,0,179,339,125,234,157,410,74,25,91,95,202,483
Nemanja Bjelica,1190,56,177,95,179,45,61,57,187,79,40,20,59,154,403
Tarik Black,1091,1,2,149,292,82,109,144,199,39,29,44,58,173,383
Eric Bledsoe,2176,104,310,345,724,388,458,52,268,418,91,31,224,164,1390
Bojan Bogdanović,2083,144,392,232,453,217,243,37,240,111,34,7,131,146,1113
Andrew Bogut,583,0,1,38,80,3,11,56,162,49,13,25,43,86,79
Joel Bolomboy,53,1,4,8,12,3,6,4,13,2,1,2,2,1,22
Devin Booker,2730,147,405,459,1026,367,441,46,203,268,72,21,241,242,1726
Trevor Booker,1754,25,78,280,513,74,110,143,428,138,75,28,127,152,709
Avery Bradley,1835,108,277,251,498,68,93,65,269,122,68,11,88,141,894
Corey Brewer,1281,27,118,120,230,50,68,32,134,97,61,20,55,133,371
Malcolm Brogdon,1982,78,193,212,442,109,126,47,166,317,84,12,113,140,767
Aaron Brooks,894,48,128,73,172,32,40,18,51,125,25,9,66,93,322
Anthony Brown,159,7,27,11,23,0,0,8,25,8,5,1,6,15,43
Bobby Brown,123,14,35,9,25,2,2,0,6,14,1,0,5,5,62
Jaylen Brown,1341,46,135,146,288,85,124,45,175,64,35,18,68,142,515
Nicolás Brussino,521,29,95,23,46,17,22,26,69,47,17,8,26,43,150
Reggie Bullock,467,28,73,26,55,5,7,13,51,29,18,3,10,22,141
Trey Burke,703,31,70,85,185,22,29,7,40,100,11,5,48,54,285
Alec Burks,653,25,76,74,172,60,78,17,103,30,18,5,35,50,283
Jimmy Butler,2809,91,248,479,1004,585,676,129,341,417,143,32,159,112,1816
Bruno Caboclo,40,2,6,4,10,0,0,5,5,4,2,1,2,4,14
José Calderón,539,20,64,35,70,11,12,15,59,88,11,1,41,36,141
Kentavious Caldwell-Pope,2529,153,437,217,491,154,185,55,193,193,89,12,86,118,1047
Isaiah Canaan,592,25,94,38,79,30,33,6,44,37,22,1,21,35,181
