player,mp,fg,fga,fg3,fg3a,ft,fta,orb,drb,ast,stl,blk,tov,pf,pts
Steven Adams,1626,272,459,1,3,113,192,202,362,144,50,67,92,120,658
Bam Adebayo,2294,420,740,1,13,244,352,169,531,343,79,86,191,169,1085
LaMarcus Aldridge,1754,391,793,61,157,158,191,103,289,129,36,87,74,128,1001
Nickeil Alexander-Walker,517,83,234,42,120,18,30,8,74,76,13,7,40,50,226
Grayson Allen,578,92,199,41,104,33,39,5,67,47,9,1,28,42,258
Jarrett Allen,1712,280,432,0,5,157,247,202,423,90,38,86,73,151,717
Kadeem Allen,117,19,44,5,16,7,11,2,7,21,5,2,8,7,50
Al-Farouq Aminu,380,25,86,9,36,19,29,24,63,21,18,8,17,27,78
Justin Anderson,27,1,8,0,5,1,2,1,4,4,0,2,1,2,3
Kyle Anderson,1211,143,301,19,73,47,71,55,211,144,48,33,58,92,352
Ryan Anderson,14,2,7,1,5,0,0,0,7,2,1,0,1,1,5
Giannis Antetokounmpo,1827,651,1184,86,279,374,591,135,681,344,60,60,214,181,1762
Kostas Antetokounmpo,5,0,0,0,0,0,0,0,1,1,0,0,0,0,0
Thanasis Antetokounmpo,93,19,36,0,7,7,15,11,8,9,6,2,11,13,45
Carmelo Anthony,1694,301,703,77,204,118,139,63,260,81,42,24,93,152,797
OG Anunoby,1963,276,541,86,219,67,96,76,272,101,91,43,75,160,705
Ryan Arcidiacono,930,90,220,54,138,27,38,20,90,96,27,3,37,96,261
Trevor Ariza,1493,142,324,77,207,62,74,34,212,91,69,15,56,111,423
D.J. Augustin,1262,164,411,64,181,140,158,18,92,234,30,1,71,55,532
Deandre Ayton,1052,269,487,2,7,61,80,129,251,60,22,53,72,104,601
Dwayne Bacon,687,85,244,19,67,35,53,15,85,52,23,2,37,52,224
Marvin Bagley III,334,78,167,4,22,25,31,29,68,10,6,12,18,43,185
Lonzo Ball,1902,265,654,143,378,40,73,65,299,408,86,30,181,117,713
Mo Bamba,878,132,286,37,107,31,46,100,202,42,23,86,42,116,332
J.J. Barea,391,74,179,29,76,17,18,10,38,99,4,2,35,25,194
Harrison Barnes,2292,334,724,94,248,201,250,63,256,153,40,10,82,86,963
RJ Barrett,1704,292,727,63,197,156,254,50,229,143,55,17,124,122,803
Will Barton,1916,332,738,108,288,102,133,76,289,212,61,29,88,121,874
Keita Bates-Diop,667,89,208,31,94,49,69,21,91,30,18,21,14,38,258
Nicolas Batum,505,28,81,14,49,9,10,25,75,66,17,8,22,41,79
Aron Baynes,934,183,381,59,168,56,75,71,166,67,10,23,50,141,481
Kent Bazemore,1645,191,510,81,234,110,143,26,263,93,72,39,89,191,573
Darius Bazley,961,94,241,33,106,32,47,21,185,29,20,36,41,47,253
Bradley Beal,2053,593,1303,170,481,385,457,52,190,347,71,23,194,126,1741
Malik Beasley,1209,227,534,107,276,54,66,18,130,75,40,8,57,77,615
Marco Belinelli,794,107,275,57,157,39,48,4,87,65,11,1,16,41,310
Jordan Bell,256,35,67,4,12,19,31,30,51,16,3,10,21,19,93
DeAndre' Bembry,915,104,228,15,65,26,48,34,118,81,55,19,60,84,249
Dragan Bender,286,41,92,15,43,10,14,16,57,28,4,9,21,42,107
Dāvis Bertāns,1583,265,610,200,472,104,122,35,210,92,37,33,59,139,834
Patrick Beverley,1334,145,338,80,206,31,46,57,207,183,54,25,66,156,401
Khem Birch,812,59,122,0,1,52,79,75,114,41,17,23,24,77,170
Goga Bitadze,410,61,129,6,36,24,33,22,74,21,6,32,25,57,152
Bismack Biyombo,1029,151,278,0,0,91,151,120,188,50,10,49,48,116,393
Nemanja Bjelica,1871,293,616,126,301,61,74,107,313,181,56,34,93,202,773
Eric Bledsoe,1524,319,662,70,201,157,193,41,218,302,53,25,140,120,865
Bogdan Bogdanović,1573,289,667,145,395,80,109,18,159,176,57,14,90,120,803
Bojan Bogdanović,2083,418,935,189,457,250,277,39,220,131,34,7,159,110,1275
Bol Bol,16,3,6,1,2,1,1,2,2,1,0,0,3,1,8
Jonah Bolden,47,4,11,0,4,2,4,3,6,0,3,2,2,10,10
Marques Bolden,3,0,0,0,0,0,0,0,2,0,1,0,0,1,0
Jordan Bone,53,5,20,2,10,0,0,0,4,8,1,0,2,6,12
Isaac Bonga,1109,102,200,23,60,60,74,63,135,66,41,21,46,143,287
Devin Booker,2308,562,1159,129,361,423,461,27,239,416,47,16,252,198,1676
Chris Boucher,725,119,261,28,100,82,103,94,148,23,20,53,23,104,348
Brian Bowen,29,2,9,0,2,0,0,1,6,0,0,1,1,2,4
Ky Bowman,1015,134,321,33,107,34,41,24,97,131,44,10,70,102,335
Avery Bradley,1186,170,383,63,173,20,24,18,97,63,43,5,47,110,423
Tony Bradley,576,110,167,1,1,27,42,100,132,17,13,27,26,108,248
Jarrell Brantley,13,0,0,0,0,0,0,0,5,1,0,2,2,2,0
Ignas Brazdeikis,53,6,22,1,9,4,5,2,3,4,0,1,2,3,17
Corey Brewer,17,2,4,0,1,0,1,2,2,1,3,0,0,3,4
Mikal Bridges,1845,216,424,57,167,93,111,59,204,119,96,42,69,149,582
Miles Bridges,1995,319,753,99,300,106,131,88,274,114,40,48,95,132,843
Oshae Brissett,135,13,36,3,15,8,10,9,17,7,4,1,7,18,37
Ryan Broekhoff,180,22,59,20,51,7,8,5,38,11,5,4,6,15,71
Malcolm Brogdon,1507,295,677,63,202,151,168,41,192,349,34,9,118,90,804
Dillon Brooks,1954,390,974,137,381,149,184,64,160,138,58,26,113,261,1066
Bruce Brown,1634,198,447,33,96,88,119,61,213,230,63,29,100,162,517
Charlie Brown,40,6,19,3,9,5,5,2,2,2,2,2,3,3,20
Jaylen Brown,1772,394,805,116,299,170,231,56,272,111,59,16,118,156,1074
Moses Brown,33,4,10,0,0,3,8,3,11,1,1,1,3,7,11
Sterling Brown,697,81,223,36,117,28,36,29,144,47,26,7,38,48,226
