No.,Player,Pos,Ht,Wt,Birth Date,,Exp,College
24,Buddy Hield,SG,6-4,220,December 17 1992,bs,3,Oklahoma
40,Harrison Barnes,PF,6-8,225,May 30 1992,us,7,UNC
88,Nemanja Bjelica,PF,6-10,235,May 9 1988,rs,4,
9,Cory Joseph,PG,6-3,200,August 20 1991,ca,8,Texas
8,Bogdan Bogdanović,SG,6-6,220,August 18 1992,rs,2,
5,De'Aaron Fox,PG,6-3,185,December 20 1997,us,2,Kentucky
3,Yogi Ferrell,PG,6-0,180,May 9 1993,us,3,Indiana
22,Richaun Holmes,C,6-10,240,October 15 1993,us,4,Bowling Green
20,Harry Giles,PF,6-11,240,April 22 1998,us,1,Duke
10,Justin James,SG,6-7,190,January 24 1997,us,R,Wyoming
26,Kent Bazemore,SG,6-4,195,July 1 1989,us,7,Old Dominion
35,Marvin Bagley III,PF,6-11,240,March 14 1999,us,1,Duke
25,Alex Len,C,7-0,250,June 16 1993,ua,6,Maryland
19,DaQuan Jeffries  (TW),SG,6-5,216,August 30 1997,us,R,Oral Roberts Tulsa
7,Kyle Guy  (TW),SG,6-1,170,August 11 1997,us,R,Virginia
33,Jabari Parker,PF,6-8,245,March 15 1995,us,5,Duke
,Corey Brewer,F-G,6-9,186,March 5 1986,us,12,Florida
