,FG/MP_Home_Starter,FGA/MP_Home_Starter,3P/MP_Home_Starter,3PA/MP_Home_Starter,FT/MP_Home_Starter,FTA/MP_Home_Starter,ORB/MP_Home_Starter,DRB/MP_Home_Starter,AST/MP_Home_Starter,STL/MP_Home_Starter,BLK/MP_Home_Starter,TOV/MP_Home_Starter,PF/MP_Home_Starter,PTS/MP_Home_Starter,FG/MP_Home_Other,FGA/MP_Home_Other,3P/MP_Home_Other,3PA/MP_Home_Other,FT/MP_Home_Other,FTA/MP_Home_Other,ORB/MP_Home_Other,DRB/MP_Home_Other,AST/MP_Home_Other,STL/MP_Home_Other,BLK/MP_Home_Other,TOV/MP_Home_Other,PF/MP_Home_Other,PTS/MP_Home_Other,FG/MP_Away_Starter,FGA/MP_Away_Starter,3P/MP_Away_Starter,3PA/MP_Away_Starter,FT/MP_Away_Starter,FTA/MP_Away_Starter,ORB/MP_Away_Starter,DRB/MP_Away_Starter,AST/MP_Away_Starter,STL/MP_Away_Starter,BLK/MP_Away_Starter,TOV/MP_Away_Starter,PF/MP_Away_Starter,PTS/MP_Away_Starter,FG/MP_Away_Other,FGA/MP_Away_Other,3P/MP_Away_Other,3PA/MP_Away_Other,FT/MP_Away_Other,FTA/MP_Away_Other,ORB/MP_Away_Other,DRB/MP_Away_Other,AST/MP_Away_Other,STL/MP_Away_Other,BLK/MP_Away_Other,TOV/MP_Away_Other,PF/MP_Away_Other,PTS/MP_Away_Other,Homewin,GameID
GameID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GSW vs BRK 2021,0.20520506881046463,0.4414770404687287,0.05872734705000681,0.15914974792206021,0.09919607575964028,0.1302629786074397,0.041967570513693965,0.14497887995639733,0.13734841259027114,0.024390243902439025,0.014988418040604986,0.07112685651996185,0.07998364899850116,0.5683335604305764,0.13878612138786123,0.30816918308169183,0.0484951504849515,0.13808619138086192,0.06029397060293971,0.08139186081391861,0.0428957104289571,0.146985301469853,0.07589241075892411,0.026497350264973504,0.019598040195980403,0.04999500049995,0.09679032096790322,0.38636136386361364,0.1902775780238746,0.41536027613979576,0.04386595714080253,0.13246080828419388,0.10038832158780382,0.12771465554436934,0.03466129728174889,0.12066733783978138,0.08945778800517762,0.03077808140371063,0.017546382856321013,0.057672946929383,0.08456781245505537,0.5248094347763556,0.13831302421269187,0.33881943345466053,0.04367779711979743,0.1386295299889223,0.07263807564488052,0.09131191644247508,0.035132141161576196,0.14796645038771958,0.08355752492482987,0.03560689982592182,0.020572875454977053,0.05428074062351638,0.09685076752650736,0.3929419211900617,1.0,
LAC vs LAL 2021,0.22252203633747078,0.44630329195898544,0.0444324518798345,0.12349343407087605,0.11261018168735384,0.14786832164058283,0.04128440366972477,0.15659291239431553,0.13590573844216586,0.030940816693649936,0.028512322360136715,0.07285483000539665,0.07357438388199317,0.6020867062421299,0.13905785825435,0.32734474465978214,0.05502899985853728,0.15872117696986843,0.04781440090536144,0.0640826142311501,0.026453529494978072,0.1154335832508134,0.06648748054887538,0.03182911302871693,0.011882868864054322,0.04753147545621729,0.0862922619889659,0.3809591172725987,0.20555205047318612,0.42801261829653,0.056025236593059934,0.1444794952681388,0.10082018927444795,0.12189274447949527,0.05943217665615142,0.19735015772870662,0.1101577287066246,0.03608832807570978,0.02498422712933754,0.06712933753943218,0.0938801261829653,0.5679495268138801,0.17280163599182005,0.40940695296523516,0.06748466257668712,0.17873210633946832,0.09570552147239264,0.1132924335378323,0.021881390593047036,0.10572597137014315,0.14642126789366053,0.01901840490797546,0.007157464212678937,0.06646216768916155,0.06809815950920245,0.5087934560327199,0.0,
CHO vs CLE 2021,0.19353693181818182,0.3913352272727273,0.031486742424242424,0.0888967803030303,0.06640625,0.09339488636363637,0.0673532196969697,0.16678503787878787,0.08676609848484848,0.036458333333333336,0.026041666666666668,0.07421875,0.0810842803030303,0.4849668560606061,0.135706340378198,0.30728587319243605,0.05728587319243604,0.15350389321468297,0.0439377085650723,0.06618464961067853,0.029477196885428252,0.11234705228031146,0.07119021134593993,0.029199110122358176,0.017519466073414907,0.04449388209121246,0.08759733036707452,0.37263626251390436,0.174345958609918,0.38559156579461146,0.056520890277235454,0.1498438110113237,0.07633736821554081,0.10093713393205779,0.04734478719250293,0.13529871144084343,0.1174345958609918,0.02557594689574385,0.016106989457243263,0.06188988676298321,0.07331120655993753,0.48155017571261227,0.14753046824887747,0.3425272610647851,0.04361770365618987,0.1372674791533034,0.055805003207184095,0.07141329912336968,0.038058584562753905,0.12871498824032498,0.07675860594398118,0.026512721830233055,0.01774641864443019,0.05174257002351935,0.07526192003420996,0.39448364336112896,1.0,
NYK vs IND 2021,0.19993848046754845,0.40695170716702556,0.04408899825694658,0.12006562083461499,0.07895006664616015,0.09966164257151645,0.04347380293243105,0.1584127960627499,0.1021224238695786,0.024095150210191735,0.02204449912847329,0.05731569773403056,0.0819235107146519,0.5229160258382036,0.13791438686836177,0.3070485999356292,0.042967492758287734,0.11828130028966849,0.036691342130672676,0.04586417766334085,0.021725136787898294,0.10943031863533956,0.12455745091728355,0.03797875764402961,0.01657547473447055,0.04682973929835855,0.07917605407145156,0.35548760862568396,0.18153153153153154,0.39481981981981984,0.03310810810810811,0.10236486486486486,0.08997747747747747,0.1268018018018018,0.05630630630630631,0.15664414414414415,0.10484234234234234,0.03547297297297297,0.02195945945945946,0.06306306306306306,0.08637387387387388,0.48614864864864865,0.13121764573486383,0.31397704253882514,0.03196038712581589,0.10893540400630204,0.054692775151924375,0.07652487058293946,0.039387801035336484,0.12761647535449022,0.1008327706504614,0.040738239927976594,0.033310826018455995,0.06189511591267162,0.11636281791582265,0.34908845374746794,1.0,
MIA vs ORL 2021,0.19197224045765732,0.43055425302447714,0.05401856888305355,0.15624120791522086,0.07221232298602645,0.09443871330769953,0.031323267373159526,0.14489355716027386,0.108974960142549,0.03432429897777361,0.012941948794898246,0.053174528744255836,0.0678983400543937,0.5101753727843946,0.1152782047340916,0.25883799569628035,0.03074085459575776,0.0934521979711036,0.05687058100215186,0.07746695358130956,0.08422994159237626,0.156470949892407,0.06947433138641254,0.030433446049800184,0.04703350753150937,0.04211497079618813,0.10636335690132186,0.31816784506609286,0.16508078994614003,0.3476660682226212,0.051615798922800715,0.1322262118491921,0.09748653500897667,0.12486535008976661,0.03518850987432675,0.14470377019748654,0.11759425493716337,0.03159784560143627,0.017594254937163375,0.06149012567324955,0.07217235188509874,0.4792639138240575,0.15310322989233693,0.334230525649145,0.05747308423052565,0.1551614946168461,0.04053198226725776,0.051931602279924,0.030398986700443317,0.14138695376820773,0.08391386953768208,0.02897403419886004,0.015991133628879037,0.05240658644711843,0.10607979734008867,0.40421152628245727,1.0,
WAS vs PHI 2021,0.19135188866799205,0.3922465208747515,0.05099403578528827,0.13111332007952287,0.08687872763419482,0.11520874751491053,0.04135188866799205,0.15646123260437375,0.11461232604373757,0.03578528827037773,0.018489065606361828,0.06312127236580517,0.08608349900596421,0.5205765407554672,0.12487979118010716,0.2560791317488666,0.04588542382195356,0.12446764665476028,0.039428492924852315,0.06319549388652287,0.05948619315840088,0.12886385492512709,0.0457480423135046,0.03132298392636351,0.027064157164445667,0.03860420387415854,0.11361450748729221,0.33507349910702017,0.22519913106444606,0.4736905623944002,0.04211923726768042,0.12370263094376056,0.1076514602944726,0.13565049481052377,0.042360608254887765,0.1344436398744871,0.14977069756215303,0.03536084962587497,0.017378711078928313,0.07904899831040309,0.08339367608013516,0.6001689596910451,0.15285832642916322,0.3376139188069594,0.055785694559513946,0.1491300745650373,0.05965202982601491,0.0788456227561447,0.03990610328638498,0.14029273681303508,0.0788456227561447,0.03051643192488263,0.0191935929301298,0.05343827671913836,0.1043910521955261,0.4211543772438553,1.0,
NOP vs TOR 2021,0.1806877060763071,0.39802166745171924,0.06575600565237871,0.17654262835609985,0.09034385303815355,0.11059821008007537,0.02741403674046161,0.13509185115402733,0.11898257183231277,0.03853038153556288,0.017428167687235045,0.06151672162034856,0.08553933113518605,0.5174752708431465,0.15782747603833866,0.3303514376996805,0.04771033013844515,0.13354632587859425,0.05623003194888179,0.07944621938232162,0.06730564430244941,0.17167199148029819,0.06964856230031949,0.0349307774227902,0.031735889243876464,0.054313099041533544,0.1101171458998935,0.41959531416400425,0.19548639736191262,0.4075638911788953,0.057605111294311624,0.14509480626545754,0.09490931574608409,0.12592745259686727,0.045960428689200326,0.15282357790601814,0.1380873866446826,0.03019373454245672,0.019373454245671887,0.0781121187139324,0.0716199505358615,0.5434872217642209,0.14616646166461664,0.31365313653136534,0.05002050020500205,0.14821648216482164,0.06683066830668306,0.0979909799097991,0.05084050840508405,0.17179171791717918,0.07544075440754408,0.03095530955309553,0.023985239852398525,0.05330053300533005,0.1098810988109881,0.4091840918409184,0.0,
MIL vs BOS 2021,0.18189345845983992,0.39304443831079217,0.049590578710092925,0.132302879749747,0.08418437758763456,0.1085656454135615,0.0516146839635661,0.15024381267825926,0.10562149231760051,0.03431778452479529,0.023829239120434262,0.060355138467200295,0.08409237280338577,0.4975618732174073,0.10355029585798817,0.23609467455621302,0.032248520710059174,0.10532544378698225,0.04082840236686391,0.05591715976331361,0.04585798816568047,0.13254437869822486,0.058579881656804736,0.03520710059171597,0.026627218934911243,0.04230769230769231,0.1136094674556213,0.28017751479289943,0.21734976593102132,0.4464507499761154,0.05713193847329703,0.1653768988248782,0.09133467087035445,0.12572847998471387,0.042514569599694275,0.19107671730199674,0.13251170344893476,0.0352536543422184,0.032005350148084456,0.07289576765071176,0.07910576096302666,0.5831661412056941,0.1558641975308642,0.35692239858906527,0.06128747795414462,0.17394179894179895,0.041005291005291,0.05599647266313933,0.03946208112874779,0.1300705467372134,0.06459435626102293,0.021604938271604937,0.013447971781305114,0.041005291005291,0.09016754850088184,0.414021164021164,1.0,
ATL vs CHI 2021,0.19698742322316468,0.44823047674758704,0.06668616554548114,0.18543433752559227,0.09169347762503656,0.11626206493126645,0.041093887101491665,0.14682655747294532,0.08467388125182802,0.033196841181632054,0.014477917519742615,0.07004972214097689,0.07853173442527055,0.5523544896168471,0.1313201274414739,0.3010112203906358,0.04709793600221637,0.1417093780301981,0.04529713256683751,0.06191993350879623,0.03989472226070093,0.10777115944036571,0.10361545920487603,0.03421526527219836,0.01883917440088655,0.04779055270813132,0.08865493835711317,0.35503532345200167,0.1864848606376579,0.4196911971124925,0.06978143172247844,0.18838981351513936,0.11209143773811911,0.1334469621014638,0.029075596551032683,0.13735712853418888,0.10447162622819331,0.02877481451774614,0.013735712853418888,0.06917986765590535,0.07178664527772208,0.5548425907359134,0.16448918397943885,0.37802527307774686,0.06896551724137931,0.19254658385093168,0.041979010494752625,0.055900621118012424,0.029770828871278646,0.12122510173484687,0.11137288498607839,0.031055900621118012,0.013493253373313344,0.055686442493039195,0.09038337973870207,0.43992289569500964,0.0,
